Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1576368000000,0.00211270,0.00220000,0.00209380,0.00213630,61190730.00000000,1576454399999,130328.09962930,1147,35398261.00000000,75482.76171430,0
1576454400000,0.00213630,0.00217700,0.00207050,0.00208700,99814375.00000000,1576540799999,211390.30507990,1807,49686398.00000000,105343.03596570,0
1576540800000,0.00208350,0.00213180,0.00193490,0.00197720,209772941.00000000,1576627199999,424578.79542690,3011,122592593.00000000,248239.58491540,0
1576627200000,0.00197720,0.00208680,0.00190000,0.00204830,444442268.00000000,1576713599999,870348.04724020,4342,267719004.00000000,524307.72172950,0
1576713600000,0.00205410,0.00218000,0.00198190,0.00202050,91905080.00000000,1576799999999,186094.56313420,1918,48387110.00000000,98222.70317110,0
1576800000000,0.00202410,0.00206500,0.00199330,0.00202730,58972845.00000000,1576886399999,119422.28095640,1333,31260270.00000000,63344.54039600,0
1576886400000,0.00202750,0.00206760,0.00200910,0.00204000,83070907.00000000,1576972799999,168837.07977890,988,35817271.00000000,72918.88402440,0
1576972800000,0.00204000,0.00208590,0.00202000,0.00208080,97517875.00000000,1577059199999,200685.04070880,1293,49743816.00000000,102486.92064080,0
1577059200000,0.00208480,0.00212610,0.00202760,0.00205100,187366372.00000000,1577145599999,387064.55666760,2449,97540391.00000000,201849.77773040,0
1577145600000,0.00204700,0.00205460,0.00200200,0.00201840,61042421.00000000,1577231999999,124019.54883450,828,27366987.00000000,55610.77501920,0
1577232000000,0.00201700,0.00205910,0.00199380,0.00204000,108851438.00000000,1577318399999,219272.85195080,1431,52444870.00000000,105748.15658380,0
1577318400000,0.00203310,0.00205450,0.00200130,0.00202450,81831506.00000000,1577404799999,166144.94213720,1315,42352355.00000000,86092.70345340,0
1577404800000,0.00201720,0.00204260,0.00199010,0.00202770,145246366.00000000,1577491199999,292897.11126600,2662,68800739.00000000,138843.23107780,0
1577491200000,0.00202770,0.00206240,0.00202770,0.00204580,48401004.00000000,1577577599999,98985.70198130,840,29001655.00000000,59337.61060180,0
1577577600000,0.00204580,0.00206090,0.00202590,0.00203290,50528679.00000000,1577663999999,103109.25107200,1206,25715413.00000000,52511.29739660,0
1577664000000,0.00203910,0.00205850,0.00201230,0.00202640,76749919.00000000,1577750399999,155865.05056300,1253,39394616.00000000,80064.94878300,0
